"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
OJAI.C,01/01/2016,7.8,19.4,2.36,2.36,"1","1"
OJAI.C,01/02/2016,4.4,22.2,2.92,5.28,"1","1"
OJAI.C,01/03/2016,3.3,18.9,1.53,6.81,"1","1"
OJAI.C,01/04/2016,10.0,21.7,4.02,10.83,"1","1"
OJAI.C,01/05/2016,6.1,15.0,0.51,11.34,"1","1"
OJAI.C,01/06/2016,4.4,14.4,0.29,11.62,"1","1"
OJAI.C,01/07/2016,5.0,15.0,0.45,12.07,"1","1"
OJAI.C,01/08/2016,3.3,16.7,0.82,12.90,"1","1"
OJAI.C,01/09/2016,6.1,17.2,1.22,14.12,"1","1"
OJAI.C,01/10/2016,10.0,15.6,1.16,15.27,"1","1"
OJAI.C,01/11/2016,7.2,20.0,2.50,17.77,"1","1"
OJAI.C,01/12/2016,6.1,22.8,3.49,21.27,"1","1"
OJAI.C,01/13/2016,5.0,16.7,0.94,22.21,"1","1"
OJAI.C,01/14/2016,5.0,17.2,1.11,23.32,"1","1"
OJAI.C,01/15/2016,6.7,17.2,1.29,24.60,"1","1"
OJAI.C,01/16/2016,8.9,18.9,2.38,26.99,"1","1"
OJAI.C,01/17/2016,5.6,18.3,1.56,28.55,"1","1"
OJAI.C,01/18/2016,10.6,16.1,1.53,30.08,"1","1"
OJAI.C,01/19/2016,10.0,16.1,1.38,31.45,"1","1"
OJAI.C,01/20/2016,10.0,18.9,2.67,34.13,"1","1"
OJAI.C,01/21/2016,7.8,25.6,5.20,39.32,"1","1"
OJAI.C,01/22/2016,7.8,20.0,2.62,41.95,"1","1"
OJAI.C,01/23/2016,5.6,17.8,1.38,43.33,"1","1"
OJAI.C,01/24/2016,5.0,21.1,2.57,45.90,"1","1"
OJAI.C,01/25/2016,6.7,23.9,4.12,50.01,"1","1"
OJAI.C,01/26/2016,9.4,23.9,4.88,54.90,"1","1"
OJAI.C,01/27/2016,8.3,24.4,4.78,59.67,"1","1"
OJAI.C,01/28/2016,5.0,22.2,3.02,62.70,"1","1"
OJAI.C,01/29/2016,6.7,22.2,3.36,66.05,"1","1"
OJAI.C,01/30/2016,8.9,17.2,1.63,67.68,"1","1"
OJAI.C,01/31/2016,8.3,15.0,0.67,68.35,"1","1"
OJAI.C,02/01/2016,3.3,17.2,0.97,69.33,"1","1"
OJAI.C,02/02/2016,1.1,16.1,0.56,69.89,"1","1"
OJAI.C,02/03/2016,5.6,19.4,1.98,71.87,"1","1"
OJAI.C,02/04/2016,2.8,22.8,2.92,74.79,"1","1"
OJAI.C,02/05/2016,15.0,23.9,7.45,82.24,"1","1"
OJAI.C,02/06/2016,16.1,26.1,9.10,91.34,"1","1"
OJAI.C,02/07/2016,18.3,28.9,11.60,102.94,"1","1"
OJAI.C,02/08/2016,3.9,20.0,1.99,104.92,"A","A"
OJAI.C,02/09/2016,10.6,32.2,9.45,114.37,"1","1"
OJAI.C,02/10/2016,10.0,32.2,9.19,123.56,"1","1"
OJAI.C,02/11/2016,10.0,30.6,8.40,131.96,"1","1"
OJAI.C,02/12/2016,8.9,25.0,5.25,137.21,"1","1"
OJAI.C,02/13/2016,6.7,22.8,3.62,140.83,"1","1"
OJAI.C,02/14/2016,5.6,30.0,6.64,147.47,"1","1"
OJAI.C,02/15/2016,17.8,32.2,13.00,160.47,"1","1"
OJAI.C,02/16/2016,11.7,32.8,10.25,170.72,"1","1"
OJAI.C,02/17/2016,7.8,22.8,3.89,174.61,"1","1"
OJAI.C,02/18/2016,9.4,18.3,2.23,176.84,"1","1"
OJAI.C,02/19/2016,6.1,19.4,2.06,178.90,"1","1"
OJAI.C,02/20/2016,6.1,21.1,2.76,181.66,"1","1"
OJAI.C,02/21/2016,5.6,21.1,2.67,184.33,"1","1"
OJAI.C,02/22/2016,4.4,30.6,6.60,190.93,"1","1"
OJAI.C,02/23/2016,9.4,30.0,7.86,198.79,"1","1"
OJAI.C,02/24/2016,9.4,28.9,7.32,206.12,"1","1"
OJAI.C,02/25/2016,8.3,30.0,7.47,213.58,"1","1"
OJAI.C,02/26/2016,7.2,23.3,3.97,217.55,"1","1"
OJAI.C,02/27/2016,8.3,25.0,5.06,222.61,"1","1"
OJAI.C,02/28/2016,7.8,23.3,4.12,226.73,"1","1"
OJAI.C,02/29/2016,7.2,23.3,3.97,230.69,"1","1"
OJAI.C,03/01/2016,10.0,20.0,3.20,233.89,"1","1"
OJAI.C,03/02/2016,7.2,18.9,2.03,235.93,"1","1"
OJAI.C,03/03/2016,8.3,18.9,2.25,238.17,"1","1"
OJAI.C,03/04/2016,6.7,19.4,2.16,240.33,"1","1"
OJAI.C,03/05/2016,12.2,18.9,3.55,243.88,"1","1"
OJAI.C,03/06/2016,11.7,18.3,3.01,246.89,"1","1"
OJAI.C,03/07/2016,6.7,15.0,0.54,247.43,"1","1"
OJAI.C,03/08/2016,3.9,20.6,2.21,249.64,"1","1"
OJAI.C,03/09/2016,7.2,20.6,2.76,252.40,"1","1"
OJAI.C,03/10/2016,7.8,22.2,3.61,256.01,"1","1"
OJAI.C,03/11/2016,6.7,17.2,1.29,257.30,"1","1"
OJAI.C,03/12/2016,5.6,17.8,1.38,258.68,"1","1"
OJAI.C,03/13/2016,6.7,17.2,1.29,259.97,"1","1"
OJAI.C,03/14/2016,10.0,20.6,3.49,263.46,"1","1"
OJAI.C,03/15/2016,7.2,22.8,3.74,267.20,"1","1"
OJAI.C,03/16/2016,8.3,31.1,8.00,275.20,"1","1"
OJAI.C,03/17/2016,8.3,23.9,4.54,279.73,"1","1"
OJAI.C,03/18/2016,11.1,20.0,3.60,283.33,"1","1"
OJAI.C,03/19/2016,10.6,20.0,3.40,286.73,"1","1"
OJAI.C,03/20/2016,10.6,18.3,2.58,289.31,"1","1"
OJAI.C,03/21/2016,9.4,20.0,3.02,292.33,"1","1"
OJAI.C,03/22/2016,6.1,21.7,3.02,295.35,"1","1"
OJAI.C,03/23/2016,8.3,26.1,5.58,300.93,"1","1"
OJAI.C,03/24/2016,8.9,25.6,5.54,306.47,"1","1"
OJAI.C,03/25/2016,7.8,23.9,4.40,310.87,"1","1"
OJAI.C,03/26/2016,7.2,21.1,2.98,313.84,"1","1"
OJAI.C,03/27/2016,7.8,20.6,2.89,316.73,"1","1"
OJAI.C,03/28/2016,9.4,17.2,1.73,318.47,"1","1"
OJAI.C,03/29/2016,3.3,17.2,0.97,319.44,"1","1"
OJAI.C,03/30/2016,6.1,17.8,1.44,320.88,"1","1"
OJAI.C,03/31/2016,6.1,20.6,2.55,323.43,"1","1"
OJAI.C,04/01/2016,6.7,19.4,2.16,325.58,"1","1"
OJAI.C,04/02/2016,7.2,23.3,3.97,329.55,"1","1"
OJAI.C,04/03/2016,6.1,21.1,2.76,332.31,"1","1"
OJAI.C,04/04/2016,6.1,24.4,4.20,336.51,"1","1"
OJAI.C,04/05/2016,7.2,26.1,5.26,341.77,"1","1"
OJAI.C,04/06/2016,10.6,34.4,10.50,352.27,"1","1"
OJAI.C,04/07/2016,11.7,20.0,3.86,356.13,"1","1"
OJAI.C,04/08/2016,13.9,16.7,3.30,359.43,"1","1"
OJAI.C,04/09/2016,13.3,18.9,4.10,363.53,"1","1"
OJAI.C,04/10/2016,10.0,20.6,3.49,367.01,"1","1"
OJAI.C,04/11/2016,11.7,21.1,4.40,371.42,"1","1"
OJAI.C,04/12/2016,8.9,21.1,3.39,374.81,"1","1"
OJAI.C,04/13/2016,10.6,20.0,3.40,378.22,"1","1"
OJAI.C,04/14/2016,9.4,22.2,4.06,382.28,"1","1"
OJAI.C,04/15/2016,7.2,23.3,3.97,386.25,"1","1"
OJAI.C,04/16/2016,6.7,28.3,6.15,392.40,"1","1"
OJAI.C,04/17/2016,11.7,33.9,10.78,403.18,"1","1"
OJAI.C,04/18/2016,9.4,28.3,7.03,410.21,"1","1"
OJAI.C,04/19/2016,12.2,29.4,8.80,419.01,"1","1"
OJAI.C,04/20/2016,7.8,27.8,6.24,425.25,"1","1"
OJAI.C,04/21/2016,7.2,24.4,4.47,429.72,"1","1"
OJAI.C,04/22/2016,7.8,24.4,4.63,434.35,"A","A"
OJAI.C,04/23/2016,7.2,23.9,4.24,438.59,"A","A"
OJAI.C,04/24/2016,6.7,24.4,4.34,442.93,"A","A"
OJAI.C,04/25/2016,7.2,25.6,5.03,447.96,"A","A"
OJAI.C,04/26/2016,7.2,25.6,5.03,452.99,"A","A"
OJAI.C,04/27/2016,7.8,25.6,5.20,458.18,"A","A"
OJAI.C,04/28/2016,6.1,20.0,2.30,460.48,"1","1"
OJAI.C,04/29/2016,7.8,19.4,2.36,462.84,"1","1"
OJAI.C,04/30/2016,7.8,20.0,2.62,465.47,"1","1"
OJAI.C,05/01/2016,7.8,21.7,3.38,468.85,"1","1"
OJAI.C,05/02/2016,10.0,20.6,3.49,472.34,"1","1"
OJAI.C,05/03/2016,8.9,24.4,4.96,477.30,"1","1"
OJAI.C,05/04/2016,11.7,18.9,3.31,480.61,"1","1"
OJAI.C,05/05/2016,12.2,20.0,4.10,484.71,"1","1"
OJAI.C,05/06/2016,8.3,25.6,5.35,490.05,"A","A"
OJAI.C,05/07/2016,8.9,27.2,6.31,496.37,"A","A"
OJAI.C,05/08/2016,8.3,26.1,5.58,501.95,"A","A"
OJAI.C,05/09/2016,8.9,25.6,5.54,507.49,"A","A"
OJAI.C,05/10/2016,8.9,25.6,5.54,513.03,"A","A"
OJAI.C,05/11/2016,8.3,25.0,5.06,518.09,"A","A"
OJAI.C,05/12/2016,8.3,25.6,5.35,523.43,"A","A"
OJAI.C,05/13/2016,8.9,26.1,5.78,529.21,"A","A"
OJAI.C,05/14/2016,8.3,26.1,5.58,534.80,"A","A"
OJAI.C,05/15/2016,8.9,25.6,5.54,540.33,"A","A"
OJAI.C,05/16/2016,8.9,26.7,6.07,546.40,"A","A"
OJAI.C,05/17/2016,9.4,25.6,5.71,552.11,"A","A"
OJAI.C,05/18/2016,9.4,26.1,5.95,558.06,"A","A"
OJAI.C,05/19/2016,9.4,26.7,6.25,564.31,"A","A"
OJAI.C,05/20/2016,8.9,25.6,5.54,569.85,"A","A"
OJAI.C,05/21/2016,8.9,26.1,5.78,575.63,"A","A"
OJAI.C,05/22/2016,9.4,26.1,5.95,581.58,"A","A"
OJAI.C,05/23/2016,9.4,25.0,5.42,587.00,"A","A"
OJAI.C,05/24/2016,10.0,25.6,5.93,592.92,"A","A"
OJAI.C,05/25/2016,10.0,24.4,5.34,598.26,"A","A"
OJAI.C,05/26/2016,10.0,25.0,5.63,603.90,"A","A"
OJAI.C,05/27/2016,10.0,25.0,5.63,609.53,"A","A"
OJAI.C,05/28/2016,10.0,25.6,5.93,615.46,"A","A"
OJAI.C,05/29/2016,10.0,25.6,5.93,621.39,"A","A"
OJAI.C,05/30/2016,9.4,27.2,6.49,627.88,"A","A"
OJAI.C,05/31/2016,10.0,26.7,6.47,634.35,"A","A"
OJAI.C,06/01/2016,10.0,26.7,6.47,640.81,"A","A"
OJAI.C,06/02/2016,10.6,26.7,6.71,647.53,"A","A"
OJAI.C,06/03/2016,10.0,27.8,7.01,654.54,"A","A"
OJAI.C,06/04/2016,10.0,27.8,7.01,661.55,"A","A"
OJAI.C,06/05/2016,10.6,26.7,6.71,668.26,"A","A"
OJAI.C,06/06/2016,10.6,26.7,6.71,674.97,"A","A"
OJAI.C,06/07/2016,11.1,26.1,6.63,681.60,"A","A"
OJAI.C,06/08/2016,10.6,26.1,6.41,688.01,"A","A"
OJAI.C,06/09/2016,10.6,27.8,7.26,695.27,"A","A"
OJAI.C,06/10/2016,10.6,26.7,6.71,701.98,"A","A"
OJAI.C,06/11/2016,11.1,26.1,6.63,708.61,"A","A"
OJAI.C,06/12/2016,10.0,26.7,6.47,715.08,"A","A"
OJAI.C,06/13/2016,10.6,28.3,7.51,722.58,"A","A"
OJAI.C,06/14/2016,10.6,28.3,7.51,730.09,"A","A"
OJAI.C,06/15/2016,11.1,27.8,7.47,737.56,"A","A"
OJAI.C,06/16/2016,11.1,28.3,7.72,745.29,"A","A"
OJAI.C,06/17/2016,11.1,28.9,8.02,753.31,"A","A"
OJAI.C,06/18/2016,11.7,28.9,8.30,761.61,"A","A"
OJAI.C,06/19/2016,12.2,28.9,8.55,770.16,"A","A"
OJAI.C,06/20/2016,11.1,27.8,7.47,777.64,"A","A"
OJAI.C,06/21/2016,10.6,27.8,7.26,784.89,"A","A"
OJAI.C,06/22/2016,13.9,24.4,7.15,792.04,"1","1"
OJAI.C,06/23/2016,11.7,23.9,5.80,797.85,"1","1"
OJAI.C,06/24/2016,14.4,23.3,6.85,804.70,"1","1"
OJAI.C,06/25/2016,11.7,25.6,6.65,811.35,"1","1"
OJAI.C,06/26/2016,15.6,25.6,8.60,819.95,"1","1"
OJAI.C,06/27/2016,15.0,26.1,8.55,828.50,"1","1"
OJAI.C,06/28/2016,17.2,27.2,10.20,838.70,"1","1"
OJAI.C,06/29/2016,16.1,25.0,8.55,847.25,"1","1"
OJAI.C,06/30/2016,12.2,30.6,9.40,856.65,"A","A"
OJAI.C,07/01/2016,12.8,23.9,6.35,863.00,"1","1"
OJAI.C,07/02/2016,13.3,24.4,6.85,869.85,"1","1"
OJAI.C,07/03/2016,14.4,22.8,6.60,876.45,"1","1"
OJAI.C,07/04/2016,14.4,23.3,6.85,883.30,"1","1"
OJAI.C,07/05/2016,14.4,23.3,6.85,890.15,"1","1"
OJAI.C,07/06/2016,13.9,22.8,6.35,896.50,"1","1"
OJAI.C,07/07/2016,12.8,23.9,6.35,902.85,"1","1"
OJAI.C,07/08/2016,13.3,24.4,6.85,909.70,"1","1"
OJAI.C,07/09/2016,13.3,25.0,7.15,916.85,"1","1"
OJAI.C,07/10/2016,13.3,24.4,6.85,923.70,"1","1"
OJAI.C,07/11/2016,13.3,25.0,7.15,930.85,"1","1"
OJAI.C,07/12/2016,12.2,24.4,6.30,937.15,"1","1"
OJAI.C,07/13/2016,12.8,26.1,7.45,944.60,"1","1"
OJAI.C,07/14/2016,15.6,24.4,8.00,952.60,"1","1"
OJAI.C,07/15/2016,16.1,24.4,8.25,960.85,"1","1"
OJAI.C,07/16/2016,15.6,24.4,8.00,968.85,"1","1"
OJAI.C,07/17/2016,15.6,23.9,7.75,976.60,"1","1"
OJAI.C,07/18/2016,14.4,25.6,8.00,984.60,"1","1"
OJAI.C,07/19/2016,12.2,27.2,7.70,992.30,"1","1"
OJAI.C,07/20/2016,12.8,28.9,8.85,1001.15,"1","1"
OJAI.C,07/21/2016,13.3,29.4,9.35,1010.50,"1","1"
OJAI.C,07/22/2016,13.3,31.7,10.50,1021.00,"1","1"
OJAI.C,07/23/2016,12.8,31.7,10.25,1031.25,"1","1"
OJAI.C,07/24/2016,15.6,28.3,9.95,1041.20,"1","1"
OJAI.C,07/25/2016,17.8,28.3,11.05,1052.25,"1","1"
OJAI.C,07/26/2016,17.2,28.9,11.05,1063.30,"1","1"
OJAI.C,07/27/2016,13.3,32.2,10.75,1074.05,"A","A"
OJAI.C,07/28/2016,15.6,27.8,9.70,1083.75,"1","1"
OJAI.C,07/29/2016,15.6,27.8,9.70,1093.45,"1","1"
OJAI.C,07/30/2016,13.3,31.7,10.50,1103.95,"A","A"
OJAI.C,07/31/2016,18.3,26.7,10.50,1114.45,"1","1"
OJAI.C,08/01/2016,16.7,25.6,9.15,1123.60,"1","1"
OJAI.C,08/02/2016,16.1,25.6,8.85,1132.45,"1","1"
OJAI.C,08/03/2016,15.6,26.1,8.85,1141.30,"1","1"
OJAI.C,08/04/2016,15.6,25.0,8.30,1149.60,"1","1"
OJAI.C,08/05/2016,13.3,25.0,7.15,1156.75,"1","1"
OJAI.C,08/06/2016,14.4,24.4,7.40,1164.15,"1","1"
OJAI.C,08/07/2016,13.3,32.2,10.75,1174.90,"A","A"
OJAI.C,08/08/2016,13.3,25.0,7.15,1182.05,"1","1"
OJAI.C,08/09/2016,15.6,24.4,8.00,1190.05,"1","1"
OJAI.C,08/10/2016,14.4,25.0,7.70,1197.75,"1","1"
OJAI.C,08/11/2016,14.4,25.6,8.00,1205.75,"1","1"
OJAI.C,08/12/2016,16.7,25.0,8.85,1214.60,"1","1"
OJAI.C,08/13/2016,15.0,26.1,8.55,1223.15,"1","1"
OJAI.C,08/14/2016,14.4,26.7,8.55,1231.70,"1","1"
OJAI.C,08/15/2016,14.4,27.2,8.80,1240.50,"1","1"
OJAI.C,08/16/2016,13.9,26.7,8.30,1248.80,"1","1"
OJAI.C,08/17/2016,12.8,25.6,7.20,1256.00,"1","1"
OJAI.C,08/18/2016,13.9,23.9,6.90,1262.90,"1","1"
OJAI.C,08/19/2016,14.4,25.0,7.70,1270.60,"1","1"
OJAI.C,08/20/2016,12.8,23.3,6.05,1276.65,"1","1"
OJAI.C,08/21/2016,12.8,26.1,7.45,1284.10,"1","1"
OJAI.C,08/22/2016,13.3,26.1,7.70,1291.80,"1","1"
OJAI.C,08/23/2016,12.8,25.0,6.90,1298.70,"1","1"
OJAI.C,08/24/2016,13.3,25.6,7.45,1306.15,"1","1"
OJAI.C,08/25/2016,13.3,23.3,6.30,1312.45,"1","1"
OJAI.C,08/26/2016,15.0,22.8,6.90,1319.35,"1","1"
OJAI.C,08/27/2016,14.4,23.3,6.85,1326.20,"1","1"
OJAI.C,08/28/2016,12.8,25.6,7.20,1333.40,"1","1"
OJAI.C,08/29/2016,13.3,27.8,8.55,1341.95,"1","1"
OJAI.C,08/30/2016,14.4,28.3,9.35,1351.30,"1","1"
OJAI.C,08/31/2016,14.4,27.2,8.80,1360.10,"1","1"
OJAI.C,09/01/2016,12.2,25.0,6.60,1366.70,"1","1"
OJAI.C,09/02/2016,12.2,24.4,6.30,1373.00,"1","1"
OJAI.C,09/03/2016,13.9,22.8,6.35,1379.35,"1","1"
OJAI.C,09/04/2016,12.8,22.2,5.50,1384.85,"1","1"
OJAI.C,09/05/2016,10.6,22.8,4.78,1389.63,"1","1"
OJAI.C,09/06/2016,11.1,23.3,5.23,1394.86,"1","1"
OJAI.C,09/07/2016,13.3,23.3,6.30,1401.16,"1","1"
OJAI.C,09/08/2016,14.4,23.3,6.85,1408.01,"1","1"
OJAI.C,09/09/2016,13.9,23.9,6.90,1414.91,"1","1"
OJAI.C,09/10/2016,13.9,25.0,7.45,1422.36,"1","1"
OJAI.C,09/11/2016,15.6,23.3,7.45,1429.81,"1","1"
OJAI.C,09/12/2016,15.0,22.2,6.60,1436.41,"1","1"
OJAI.C,09/13/2016,11.1,21.1,4.14,1440.55,"1","1"
OJAI.C,09/14/2016,9.4,22.2,4.06,1444.62,"1","1"
OJAI.C,09/15/2016,10.6,23.9,5.32,1449.94,"1","1"
OJAI.C,09/16/2016,11.1,23.9,5.53,1455.47,"1","1"
OJAI.C,09/17/2016,11.1,25.0,6.08,1461.55,"1","1"
OJAI.C,09/18/2016,11.7,30.6,9.15,1470.70,"A","A"
OJAI.C,09/19/2016,15.0,27.2,9.10,1479.80,"1","1"
OJAI.C,09/20/2016,17.2,30.6,11.90,1491.70,"1","1"
OJAI.C,09/21/2016,15.0,27.8,9.40,1501.10,"1","1"
OJAI.C,09/22/2016,12.2,25.6,6.90,1508.00,"1","1"
OJAI.C,09/23/2016,9.4,27.2,6.49,1514.49,"1","1"
OJAI.C,09/24/2016,12.2,30.6,9.40,1523.89,"A","A"
OJAI.C,09/25/2016,10.6,38.9,12.17,1536.06,"1","1"
OJAI.C,09/26/2016,14.4,39.4,14.08,1550.14,"1","1"
OJAI.C,09/27/2016,15.0,37.2,13.70,1563.85,"1","1"
OJAI.C,09/28/2016,16.7,30.0,11.35,1575.20,"1","1"
OJAI.C,09/29/2016,15.0,28.9,9.95,1585.15,"1","1"
OJAI.C,09/30/2016,12.8,27.8,8.30,1593.45,"1","1"
OJAI.C,10/01/2016,12.2,25.6,6.90,1600.35,"1","1"
OJAI.C,10/02/2016,10.6,22.8,4.78,1605.13,"1","1"
OJAI.C,10/03/2016,10.0,22.8,4.56,1609.68,"1","1"
OJAI.C,10/04/2016,10.0,21.7,4.02,1613.70,"1","1"
OJAI.C,10/05/2016,10.0,22.2,4.26,1617.97,"1","1"
OJAI.C,10/06/2016,7.2,31.1,7.63,1625.60,"1","1"
OJAI.C,10/07/2016,9.4,30.0,7.86,1633.46,"A","A"
OJAI.C,10/08/2016,8.3,31.1,8.00,1641.46,"1","1"
OJAI.C,10/09/2016,11.1,28.9,8.02,1649.49,"1","1"
OJAI.C,10/10/2016,11.7,24.4,6.05,1655.54,"1","1"
OJAI.C,10/11/2016,11.1,21.1,4.14,1659.68,"1","1"
OJAI.C,10/12/2016,11.1,21.1,4.14,1663.82,"1","1"
OJAI.C,10/13/2016,9.4,21.7,3.82,1667.65,"1","1"
OJAI.C,10/14/2016,12.2,21.1,4.65,1672.30,"1","1"
OJAI.C,10/15/2016,11.1,22.8,4.98,1677.28,"1","1"
OJAI.C,10/16/2016,16.7,22.2,7.45,1684.73,"1","1"
OJAI.C,10/17/2016,12.8,23.3,6.05,1690.78,"1","1"
OJAI.C,10/18/2016,10.6,24.4,5.57,1696.35,"1","1"
OJAI.C,10/19/2016,11.7,32.2,9.95,1706.30,"1","1"
OJAI.C,10/20/2016,12.8,35.6,12.05,1718.36,"1","1"
OJAI.C,10/21/2016,12.2,33.9,11.03,1729.39,"1","1"
OJAI.C,10/22/2016,8.9,24.4,4.96,1734.35,"1","1"
OJAI.C,10/23/2016,10.6,25.0,5.87,1740.22,"1","1"
OJAI.C,10/24/2016,12.2,22.2,5.20,1745.42,"1","1"
OJAI.C,10/25/2016,10.0,22.2,4.26,1749.68,"1","1"
OJAI.C,10/26/2016,9.4,23.9,4.88,1754.56,"1","1"
OJAI.C,10/27/2016,13.3,26.1,7.70,1762.26,"1","1"
OJAI.C,10/28/2016,13.3,23.3,6.30,1768.56,"1","1"
OJAI.C,10/29/2016,12.2,24.4,6.30,1774.86,"1","1"
OJAI.C,10/30/2016,14.4,18.9,4.65,1779.51,"1","1"
OJAI.C,10/31/2016,12.2,20.6,4.40,1783.91,"1","1"
OJAI.C,11/01/2016,11.7,20.6,4.16,1788.07,"1","1"
OJAI.C,11/02/2016,8.3,30.0,7.47,1795.53,"1","1"
OJAI.C,11/03/2016,13.9,33.9,11.88,1807.41,"1","1"
OJAI.C,11/04/2016,11.1,26.1,6.63,1814.04,"1","1"
OJAI.C,11/05/2016,9.4,26.7,6.25,1820.29,"1","1"
OJAI.C,11/06/2016,8.3,22.8,4.02,1824.31,"1","1"
OJAI.C,11/07/2016,10.0,23.9,5.09,1829.40,"1","1"
OJAI.C,11/08/2016,9.4,34.4,10.00,1839.40,"1","1"
OJAI.C,11/09/2016,13.9,36.1,12.78,1852.18,"1","1"
OJAI.C,11/10/2016,15.0,34.4,12.65,1864.83,"1","1"
OJAI.C,11/11/2016,13.3,31.1,10.20,1875.03,"1","1"
OJAI.C,11/12/2016,9.4,27.8,6.78,1881.81,"1","1"
OJAI.C,11/13/2016,11.7,32.8,10.25,1892.07,"1","1"
OJAI.C,11/14/2016,9.4,27.2,6.49,1898.56,"1","1"
OJAI.C,11/15/2016,6.1,22.8,3.49,1902.05,"1","1"
OJAI.C,11/16/2016,7.2,20.6,2.76,1904.81,"1","1"
OJAI.C,11/17/2016,7.2,23.3,3.97,1908.77,"1","1"
OJAI.C,11/18/2016,8.9,27.8,6.60,1915.38,"1","1"
OJAI.C,11/19/2016,4.4,21.1,2.48,1917.86,"1","1"
OJAI.C,11/20/2016,7.8,17.8,1.68,1919.54,"1","1"
OJAI.C,11/21/2016,10.0,20.0,3.20,1922.74,"1","1"
OJAI.C,11/22/2016,7.2,20.6,2.76,1925.50,"1","1"
OJAI.C,11/23/2016,3.9,21.1,2.41,1927.91,"A","A"
OJAI.C,11/24/2016,8.3,27.2,6.11,1934.02,"1","1"
OJAI.C,11/25/2016,5.6,26.1,4.85,1938.87,"1","1"
OJAI.C,11/26/2016,1.7,17.2,0.87,1939.74,"1","1"
OJAI.C,11/27/2016,5.0,18.3,1.49,1941.23,"1","1"
OJAI.C,11/28/2016,5.6,16.7,1.00,1942.23,"1","1"
OJAI.C,11/29/2016,5.0,21.7,2.82,1945.04,"1","1"
OJAI.C,11/30/2016,5.0,20.0,2.13,1947.18,"1","1"
OJAI.C,12/01/2016,5.6,21.1,2.67,1949.85,"1","1"
OJAI.C,12/02/2016,3.9,19.4,1.77,1951.61,"1","1"
OJAI.C,12/03/2016,6.1,24.4,4.20,1955.82,"1","1"
OJAI.C,12/04/2016,4.4,22.2,2.92,1958.74,"1","1"
OJAI.C,12/05/2016,2.8,17.8,1.12,1959.86,"1","1"
OJAI.C,12/06/2016,7.2,18.3,1.79,1961.65,"1","1"
OJAI.C,12/07/2016,6.7,20.0,2.41,1964.05,"1","1"
OJAI.C,12/08/2016,6.7,18.3,1.71,1965.76,"1","1"
OJAI.C,12/09/2016,12.2,18.3,3.25,1969.01,"1","1"
OJAI.C,12/10/2016,12.8,17.2,3.00,1972.01,"1","1"
OJAI.C,12/11/2016,12.2,19.4,3.80,1975.81,"1","1"
OJAI.C,12/12/2016,2.8,19.4,1.65,1977.46,"A","A"
OJAI.C,12/13/2016,9.4,17.8,2.00,1979.47,"1","1"
OJAI.C,12/14/2016,6.7,20.0,2.41,1981.87,"1","1"
OJAI.C,12/15/2016,8.9,17.2,1.63,1983.50,"1","1"
OJAI.C,12/16/2016,5.0,16.1,0.76,1984.26,"1","1"
OJAI.C,12/17/2016,1.7,18.3,1.20,1985.45,"1","1"
OJAI.C,12/18/2016,2.2,19.4,1.59,1987.05,"A","A"
OJAI.C,12/19/2016,11.7,19.4,3.56,1990.60,"1","1"
OJAI.C,12/20/2016,9.4,25.6,5.71,1996.31,"1","1"
OJAI.C,12/21/2016,11.1,19.4,3.30,1999.61,"1","1"
OJAI.C,12/22/2016,6.7,22.2,3.36,2002.97,"1","1"
OJAI.C,12/23/2016,7.8,16.7,1.24,2004.21,"1","1"
OJAI.C,12/24/2016,2.2,14.4,0.24,2004.44,"1","1"
OJAI.C,12/25/2016,1.1,13.9,0.14,2004.58,"1","1"
OJAI.C,12/26/2016,6.1,16.1,0.84,2005.42,"1","1"
OJAI.C,12/27/2016,8.9,23.9,4.72,2010.14,"1","1"
OJAI.C,12/28/2016,7.8,25.6,5.20,2015.34,"1","1"
OJAI.C,12/29/2016,15.6,26.7,9.15,2024.49,"1","1"
OJAI.C,12/30/2016,11.1,17.2,2.22,2026.71,"1","1"
OJAI.C,12/31/2016,4.4,12.8,0.04,2026.74,"1","1"