datetime	lat	lon	GLW	SWDOWN	TAH	Tair	Tsurface	hr	To_Lizard	datetimef	month	year	day
1981010112	39.4829	-106.377	176.970	0	261.18	251.74	247.98	12	-22.621158	1981-01-01 12:00:00	1	1981	1
1981010112	39.8100	-106.404	193.860	0	264.45	258.95	256.58	12	-15.146309	1981-01-01 12:00:00	1	1981	1
1981010212	39.4829	-106.377	176.025	0	262.15	254.09	250.72	12	-20.251452	1981-01-02 12:00:00	1	1981	2
1981010212	39.8100	-106.404	186.989	0	264.83	260.24	258.31	12	-13.843863	1981-01-02 12:00:00	1	1981	2
1981010312	39.4829	-106.377	123.559	0	249.32	241.05	237.75	12	-33.335761	1981-01-03 12:00:00	1	1981	3
1981010312	39.8100	-106.404	132.545	0	250.76	242.74	239.70	12	-31.551214	1981-01-03 12:00:00	1	1981	3
1981010412	39.4829	-106.377	244.713	0	256.88	256.90	256.90	12	-16.118464	1981-01-04 12:00:00	1	1981	4
1981010412	39.8100	-106.404	253.011	0	259.19	259.20	259.20	12	-13.823917	1981-01-04 12:00:00	1	1981	4
1981010512	39.4829	-106.377	277.172	0	264.53	264.53	264.53	12	-8.473837	1981-01-05 12:00:00	1	1981	5
1981010512	39.8100	-106.404	283.897	0	266.38	266.35	266.33	12	-6.667016	1981-01-05 12:00:00	1	1981	5
1981010612	39.4829	-106.377	264.493	0	261.52	261.55	261.57	12	-11.451904	1981-01-06 12:00:00	1	1981	6
1981010612	39.8100	-106.404	272.455	0	263.48	263.49	263.51	12	-9.511892	1981-01-06 12:00:00	1	1981	6
1981010712	39.4829	-106.377	227.655	0	254.56	254.39	254.32	12	-18.707880	1981-01-07 12:00:00	1	1981	7
1981010712	39.8100	-106.404	237.365	0	256.17	256.11	256.07	12	-16.953941	1981-01-07 12:00:00	1	1981	7
1981010812	39.4829	-106.377	141.470	0	250.42	243.90	241.68	12	-30.142950	1981-01-08 12:00:00	1	1981	8
1981010812	39.8100	-106.404	143.454	0	251.03	248.22	247.37	12	-25.581753	1981-01-08 12:00:00	1	1981	8
1981010912	39.4829	-106.377	285.171	0	266.47	266.41	266.38	12	-6.601203	1981-01-09 12:00:00	1	1981	9
1981010912	39.8100	-106.404	291.468	0	267.94	267.91	267.90	12	-5.097731	1981-01-09 12:00:00	1	1981	9
1981011012	39.4829	-106.377	170.095	0	261.26	256.83	255.92	12	-17.026269	1981-01-10 12:00:00	1	1981	10
1981011012	39.8100	-106.404	179.537	0	261.71	258.81	257.91	12	-15.029453	1981-01-10 12:00:00	1	1981	10
1981011112	39.4829	-106.377	280.134	0	265.33	265.26	265.22	12	-7.754841	1981-01-11 12:00:00	1	1981	11
1981011112	39.8100	-106.404	285.628	0	266.71	266.67	266.63	12	-6.349120	1981-01-11 12:00:00	1	1981	11
1981011212	39.4829	-106.377	299.214	0	269.79	269.73	269.71	12	-3.282479	1981-01-12 12:00:00	1	1981	12
1981011212	39.8100	-106.404	306.014	0	271.30	271.26	271.22	12	-1.758063	1981-01-12 12:00:00	1	1981	12
1981011312	39.4829	-106.377	206.197	0	266.03	258.01	255.29	12	-16.043118	1981-01-13 12:00:00	1	1981	13
1981011312	39.8100	-106.404	214.078	0	267.20	262.86	261.31	12	-10.993512	1981-01-13 12:00:00	1	1981	13
1981011412	39.4829	-106.377	282.130	0	266.79	266.49	266.45	12	-6.551437	1981-01-14 12:00:00	1	1981	14
1981011412	39.8100	-106.404	283.577	0	267.37	267.19	267.16	12	-5.861777	1981-01-14 12:00:00	1	1981	14
1981011512	39.4829	-106.377	191.795	0	266.07	259.37	257.20	12	-14.706509	1981-01-15 12:00:00	1	1981	15
1981011512	39.8100	-106.404	201.255	0	267.25	264.14	263.07	12	-9.741339	1981-01-15 12:00:00	1	1981	15
⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮	⋮
1981121712	39.4829	-106.377	269.585	0	263.04	262.34	262.19	12	-10.689324	1981-12-17 12:00:00	12	1981	17
1981121712	39.8100	-106.404	278.198	0	264.87	264.81	264.78	12	-8.202621	1981-12-17 12:00:00	12	1981	17
1981121812	39.4829	-106.377	172.112	0	259.71	250.26	246.63	12	-24.064782	1981-12-18 12:00:00	12	1981	18
1981121812	39.8100	-106.404	178.802	0	262.31	256.01	253.52	12	-18.146590	1981-12-18 12:00:00	12	1981	18
1981121912	39.4829	-106.377	177.154	0	258.41	248.58	244.50	12	-25.768220	1981-12-19 12:00:00	12	1981	19
1981121912	39.8100	-106.404	187.083	0	262.78	256.05	253.33	12	-18.097848	1981-12-19 12:00:00	12	1981	19
1981122012	39.4829	-106.377	191.680	0	261.16	252.37	248.42	12	-21.937193	1981-12-20 12:00:00	12	1981	20
1981122012	39.8100	-106.404	197.518	0	264.87	257.96	255.22	12	-16.167640	1981-12-20 12:00:00	12	1981	20
1981122112	39.4829	-106.377	190.405	0	265.71	259.63	257.66	12	-14.416041	1981-12-21 12:00:00	12	1981	21
1981122112	39.8100	-106.404	199.947	0	266.82	263.42	262.19	12	-10.487739	1981-12-21 12:00:00	12	1981	21
1981122212	39.4829	-106.377	182.485	0	260.72	253.58	250.48	12	-20.625149	1981-12-22 12:00:00	12	1981	22
1981122212	39.8100	-106.404	192.022	0	264.23	259.41	257.31	12	-14.648344	1981-12-22 12:00:00	12	1981	22
1981122312	39.4829	-106.377	138.971	0	254.56	248.81	246.97	12	-25.294248	1981-12-23 12:00:00	12	1981	23
1981122312	39.8100	-106.404	145.777	0	255.48	252.16	250.97	12	-21.822855	1981-12-23 12:00:00	12	1981	23
1981122412	39.4829	-106.377	170.461	0	256.14	250.05	247.38	12	-24.040788	1981-12-24 12:00:00	12	1981	24
1981122412	39.8100	-106.404	181.495	0	259.37	254.88	252.96	12	-19.076206	1981-12-24 12:00:00	12	1981	24